MCD;S&P;DJ;Wendy;YUM;Starbuck;Coca;Wheat;Oil;Commodity;sugar;Volatilty;War
1;-0,0009;0,0004;-0,0069;-0,0069;-0,0131;-0,0060;0,0225;0,0190;0,0027;-0,0048;-0,0360;1,0000
0;0,0010;0,0024;-0,0187;-0,0102;-0,0115;0,0021;0,0178;0,0207;0,0147;-0,0077;-0,0190;1,0000
1;-0,0020;-0,0016;-0,0062;-0,0064;-0,0041;-0,0019;-0,0264;-0,0090;-0,0048;0,0082;0,0464;1,0000
0;0,0006;0,0033;0,0047;-0,0033;-0,0064;0,0026;0,0000;-0,0106;-0,0105;-0,0088;-0,0339;1,0000
1;0,0041;0,0053;0,0260;0,0055;-0,0024;0,0067;-0,0126;-0,0097;-0,0098;0,0000;-0,0387;1,0000
1;-0,0020;-0,0018;-0,0100;0,0009;-0,0058;0,0110;0,0014;-0,0086;0,0063;-0,0191;0,0197;1,0000
1;0,0074;0,0058;-0,0150;0,0036;-0,0120;0,0024;0,0212;0,0022;0,0176;0,0069;-0,0202;1,0000
1;0,0013;0,0001;0,0233;-0,0013;-0,0153;0,0019;-0,0132;0,0225;0,0075;0,0140;-0,0147;1,0000
0;0,0012;-0,0013;-0,0079;0,0096;0,0111;-0,0010;-0,0050;0,0410;-0,0228;-0,0004;0,0596;1,0000
1;0,0016;0,0047;0,0064;-0,0071;0,0041;0,0019;-0,0125;-0,0490;0,0026;0,0015;0,0140;1,0000
0;0,0191;0,0143;0,0129;0,0177;0,0202;0,0030;-0,0201;-0,0204;0,0012;-0,0011;-0,0951;1,0000
1;-0,0008;0,0016;-0,0137;-0,0051;-0,0079;0,0037;-0,0121;0,0000;0,0196;-0,0191;0,0412;1,0000
1;0,0156;0,0115;0,0161;0,0099;0,0205;0,0011;0,0065;0,0141;0,0005;0,0154;-0,0776;1,0000
1;-0,0081;-0,0065;-0,0069;-0,0072;-0,0198;-0,0075;-0,0095;0,0189;-0,0064;-0,0176;0,0501;1,0000
0;0,0010;-0,0012;-0,0037;0,0010;0,0060;-0,0016;-0,0194;0,0054;-0,0089;0,0209;-0,0175;1,0000
0;0,0028;0,0017;-0,0136;-0,0072;-0,0034;0,0037;0,0386;-0,0264;-0,0201;-0,0138;-0,0212;1,0000
0;0,0018;0,0010;-0,0094;0,0004;0,0134;0,0041;-0,0096;-0,0427;0,0035;-0,0129;-0,0262;1,0000
1;0,0094;0,0066;0,0294;0,0167;0,0264;-0,0061;0,0057;0,0039;-0,0045;0,0065;-0,0730;1,0000
1;0,0189;0,0170;-0,0153;0,0245;0,0948;0,0115;0,0124;-0,0236;0,0119;0,0106;-0,0022;1,0000
1;0,0105;0,0067;-0,0016;0,0036;-0,0096;-0,0009;0,0067;0,0251;-0,0029;-0,0011;-0,0805;1,0000
0;0,0065;0,0038;-0,0114;0,0083;-0,0098;0,0061;0,0099;-0,0072;0,0020;0,0155;-0,0853;1,0000
1;0,0120;0,0158;0,0110;0,0036;0,0123;0,0165;-0,0172;-0,0157;-0,0091;0,0127;-0,0555;1,0000
1;-0,0048;-0,0112;-0,0047;0,0058;-0,0070;-0,0097;-0,0165;-0,0378;0,0104;-0,0216;0,0088;1,0000
0;-0,0118;-0,0076;0,0010;-0,0130;-0,0141;-0,0061;-0,0069;0,0280;-0,0024;0,0111;0,0686;1,0000
0;-0,0143;-0,0032;-0,0093;0,0033;-0,0066;0,0086;0,0193;-0,0255;-0,0008;-0,0214;-0,0167;1,0000
1;0,0073;0,0062;0,0169;0,0097;0,0045;0,0288;-0,0207;0,0197;-0,0056;0,0036;-0,0068;1,0000
1;-0,0017;-0,0058;-0,0099;-0,0099;0,0001;-0,0090;-0,0115;-0,0205;-0,0032;0,0018;-0,0175;1,0000
0;-0,0126;-0,0086;-0,0057;-0,0051;-0,0024;0,0040;0,0021;-0,0367;-0,0038;0,0235;-0,0090;1,0000
0;-0,0085;-0,0075;0,0078;-0,0036;0,0071;0,0056;-0,0135;-0,0069;0,0081;-0,0161;0,0994;1,0000
